"","Entrez_ID","Gene_symbol","Gene_description","Chromosome","Map_location","Model_scientific_name","Model_common_name","Gene_function"
"57","14961","H2-Ab1","histocompatibility 2, class II antigen A, beta 1","17","17 17.98 cM","Mus musculus","house mouse","Enables several functions, including peptide antigen binding activity; protein antigen binding activity; and toxic substance binding activity. Involved in several processes, including B cell affinity maturation; cellular response to interferon-gamma; and positive regulation of T-helper 1 type immune response. Acts upstream of or within antigen processing and presentation of exogenous peptide antigen via MHC class II and immune response. Located in Golgi apparatus; endosome; and external side of plasma membrane. Is integral component of membrane. Part of MHC class II protein complex. Is expressed in lung; metanephros; and thymus primordium. Orthologous to human HLA-DQB2 (major histocompatibility complex, class II, DQ beta 2). [provided by Alliance of Genome Resources, Apr 2022]"
"58","547253","Parp14","poly (ADP-ribose) polymerase family, member 14","16","16 25.43 cM","Mus musculus","house mouse","Predicted to enable several functions, including NAD+ binding activity; pentosyltransferase activity; and transcription corepressor activity. Involved in negative regulation of interferon-gamma-mediated signaling pathway and positive regulation of interleukin-4-mediated signaling pathway. Located in cytoplasm. Is expressed in Peyer's patch; hemolymphoid system; intestine; and urogenital sinus. Orthologous to human PARP14 (poly(ADP-ribose) polymerase family member 14). [provided by Alliance of Genome Resources, Apr 2022]"
"59","17329","Cxcl9","C-X-C motif chemokine ligand 9","5","5 46.51 cM","Mus musculus","house mouse","Predicted to enable CXCR3 chemokine receptor binding activity and chemokine activity. Acts upstream of or within several processes, including defense response to virus; positive regulation of myoblast differentiation; and positive regulation of myoblast fusion. Located in external side of plasma membrane and extracellular space. Is expressed in central nervous system; retina; stomach; testis; and thymus. Orthologous to human CXCL9 (C-X-C motif chemokine ligand 9). [provided by Alliance of Genome Resources, Apr 2022]"
"60","110454","Ly6a","lymphocyte antigen 6 family member A","15","15 34.29 cM","Mus musculus","house mouse","Predicted to enable acetylcholine receptor binding activity and acetylcholine receptor inhibitor activity. Acts upstream of or within response to bacterium. Located in external side of plasma membrane. Is expressed in alimentary system; hindlimb tendon; liver; metanephros; and physiological umbilical hernia. Used to study osteoporosis. Orthologous to human LY6H (lymphocyte antigen 6 family member H). [provided by Alliance of Genome Resources, Apr 2022]"
"61","217069","Trim25","tripartite motif-containing 25","11","11 54.34 cM","Mus musculus","house mouse","Predicted to enable RIG-I binding activity; transcription coactivator activity; and ubiquitin protein ligase activity. Involved in defense response to other organism; negative regulation of viral entry into host cell; and regulation of protein localization. Acts upstream of or within cellular response to leukemia inhibitory factor. Located in cytoplasm and nucleus. Is expressed in several structures, including alimentary system; central nervous system; genitourinary system; respiratory system; and sensory organ. Orthologous to human TRIM25 (tripartite motif containing 25). [provided by Alliance of Genome Resources, Apr 2022]"
"62","246728","Oas2","2'-5' oligoadenylate synthetase 2","5","5 60.64 cM","Mus musculus","house mouse","Enables 2'-5'-oligoadenylate synthetase activity and double-stranded RNA binding activity. Involved in defense response to virus; regulation of lactation; and type I interferon signaling pathway. Acts upstream of or within RNA catabolic process; interleukin-27-mediated signaling pathway; and response to bacterium. Predicted to be located in perinuclear region of cytoplasm. Predicted to be active in cytosol; membrane; and nucleoplasm. Is expressed in embryo. Orthologous to human OAS2 (2'-5'-oligoadenylate synthetase 2). [provided by Alliance of Genome Resources, Apr 2022]"
"63","68713","Ifitm1","interferon induced transmembrane protein 1","7","7 86.2 cM","Mus musculus","house mouse","Involved in response to virus. Acts upstream of or within defense response to virus; negative regulation of viral entry into host cell; and somitogenesis. Predicted to be located in early endosome and lysosomal membrane. Predicted to be part of protein-containing complex. Predicted to be active in plasma membrane. Is expressed in several structures, including alimentary system; extraembryonic component; genitourinary system; respiratory system; and sensory organ. Human ortholog(s) of this gene implicated in adenosquamous gallbladder carcinoma and gallbladder adenocarcinoma. Orthologous to human IFITM1 (interferon induced transmembrane protein 1). [provided by Alliance of Genome Resources, Apr 2022]"
"64","17857","Mx1","MX dynamin-like GTPase 1","16","16 57.46 cM","Mus musculus","house mouse","This gene encodes a member of the Mx protein family of large GTPases, and functions in the innate immunity system. Interferon alpha/beta treatment or viral infection induces expression of this protein, which subsequently accumulates in the cytoplasm and inhibits viral replication. It has been shown to confer resistance to the influenza virus. This gene produces a functional protein in some feral mouse strains, whereas some inbred mouse strains including the strain of the reference genome, C57BL/6J, contain a deletion or a nonsense mutation that results in a non-functional gene product. [provided by RefSeq, Aug 2015]"
"65","12642","Ch25h","cholesterol 25-hydroxylase","19","19 29.69 cM","Mus musculus","house mouse","Enables cholesterol 25-hydroxylase activity. Involved in B cell chemotaxis. Acts upstream of or within cholesterol metabolic process. Predicted to be located in endoplasmic reticulum. Predicted to be integral component of membrane. Predicted to be active in endoplasmic reticulum membrane. Is expressed in several structures, including genitourinary system; gut; hemolymphoid system gland; respiratory system; and skin. Orthologous to human CH25H (cholesterol 25-hydroxylase). [provided by Alliance of Genome Resources, Apr 2022]"
"66","14190","Fgl2","fibrinogen-like protein 2","5","5 9.83 cM","Mus musculus","house mouse","Predicted to enable signaling receptor binding activity. Acts upstream of or within several processes, including T cell activation via T cell receptor contact with antigen bound to MHC molecule on antigen presenting cell; negative regulation of antigen processing and presentation; and negative regulation of memory T cell differentiation. Predicted to be located in extracellular region. Predicted to be active in collagen-containing extracellular matrix and extracellular space. Is expressed in several structures, including extraembryonic component; female reproductive system; lung; nervous system; and vertebral cartilage condensation. Orthologous to human FGL2 (fibrinogen like 2). [provided by Alliance of Genome Resources, Apr 2022]"
"67","16186","Il2rg","interleukin 2 receptor, gamma chain","X","X 43.9 cM","Mus musculus","house mouse","This gene encodes a transmembrane protein that is a common subunit of several interleukin receptor complexes. These receptors are comprised of alpha and beta subunits in addition to this gamma subunit. Signalling through this pathway in important in immune cell differentiation and function. Alternative splicing results in multiple transcript variants. [provided by RefSeq, May 2015]"
"68","20558","Slfn4","schlafen 4","11","11 50.3 cM","Mus musculus","house mouse","The protein encoded by this gene belongs to the Schlafen family. All members of this family contain a Schlafen box domain that lies near an AAA domain. This protein belongs to the group 2 subset of Schlafen proteins, which are defined by a molecular weight between 58 kDa and 68 kDa and by the presence of a SWADL domain that contains the sequence Ser-Trp-Ala-Asp-Leu. In malignant melanoma cells, gene expression is up-regulated in response to interferon alpha. In bone marrow-derived macrophages, expression of this gene is induced during activation by Toll-like receptor agonists and repressed during macrophage colony-stimulating factor-mediated differentiation. Myelopoiesis is disrupted by constitutive overexpression in myeloid-lineage cells. A pseudogene of this gene is found on chromosome 11. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Oct 2014]"
"69","15894","Icam1","intercellular adhesion molecule 1","9","9 7.69 cM","Mus musculus","house mouse","This gene encodes an integral membrane protein that binds leukocyte adhesion protein LFA-1. It participates in the innate immune response. [provided by RefSeq, Aug 2016]"
"70","60361","Ms4a4b","membrane-spanning 4-domains, subfamily A, member 4B","19","19 8.44 cM","Mus musculus","house mouse","Is integral component of plasma membrane. Orthologous to human MS4A4A (membrane spanning 4-domains A4A). [provided by Alliance of Genome Resources, Apr 2022]"
"71","19106","Eif2ak2","eukaryotic translation initiation factor 2-alpha kinase 2","17","17 49.56 cM","Mus musculus","house mouse","Enables double-stranded RNA binding activity and protein kinase activity. Involved in several processes, including negative regulation of viral genome replication; positive regulation of intracellular signal transduction; and regulation of hematopoietic stem cell differentiation. Acts upstream of or within cellular protein metabolic process; endoplasmic reticulum unfolded protein response; and negative regulation of apoptotic process. Predicted to be located in nucleus and perinuclear region of cytoplasm. Predicted to be active in cytosol. Is expressed in several structures, including genitourinary system; heart; liver; lung; and spleen. Human ortholog(s) of this gene implicated in Alzheimer's disease; Huntington's disease; Parkinson's disease; and hepatitis B. Orthologous to human EIF2AK2 (eukaryotic translation initiation factor 2 alpha kinase 2). [provided by Alliance of Genome Resources, Apr 2022]"
"72","65221","Slc15a3","solute carrier family 15, member 3","19","19 7.23 cM","Mus musculus","house mouse","Enables peptidoglycan transmembrane transporter activity. Involved in peptidoglycan transport and positive regulation of nucleotide-binding activity oligomerization domain containing 2 signaling pathway. Located in endosome membrane and lysosomal membrane. Is expressed in several structures, including Peyer's patch; brain; gut; immune system; and liver lobe. Orthologous to human SLC15A3 (solute carrier family 15 member 3). [provided by Alliance of Genome Resources, Apr 2022]"
"73","13040","Ctss","cathepsin S","3","3 40.74 cM","Mus musculus","house mouse","This gene encodes a member of the peptidase C1 (papain) family of cysteine proteases. Alternative splicing results in multiple transcript variants, which encode preproproteins that are proteolytically processed to generate mature protein products. This enzyme is secreted by antigen-presenting cells during inflammation and may induce pain and itch via activation of G-protein coupled receptors. Homozygous knockout mice for this gene exhibit impaired wound healing, reduced tumorigenesis in a pancreatic cancer model, and reduced pathogenesis in a myasthenia gravis model. [provided by RefSeq, Aug 2015]"
"74","11810","Apobec1","apolipoprotein B mRNA editing enzyme, catalytic polypeptide 1","6","6 57.68 cM","Mus musculus","house mouse","Enables mRNA 3'-UTR AU-rich region binding activity. Involved in DNA demethylation and negative regulation of DNA methylation-dependent heterochromatin assembly. Acts upstream of or within several processes, including RNA modification; lipoprotein transport; and mRNA stabilization. Predicted to be active in cytoplasm and nucleus. Is expressed in early conceptus and genitourinary system. Orthologous to human APOBEC1 (apolipoprotein B mRNA editing enzyme catalytic subunit 1). [provided by Alliance of Genome Resources, Apr 2022]"
"75","12983","Csf2rb","colony stimulating factor 2 receptor, beta, low-affinity (granulocyte-macrophage)","15","15 37.36 cM","Mus musculus","house mouse","Predicted to enable cytokine receptor activity. Acts upstream of or within cytokine-mediated signaling pathway and regulation of cell growth. Predicted to be located in membrane. Predicted to be integral component of membrane. Is expressed in several structures, including bone marrow; cardiovascular system mesenchyme; dorsal aorta; genitourinary system; and yolk sac. Used to study pulmonary alveolar proteinosis. Human ortholog(s) of this gene implicated in pulmonary alveolar proteinosis. Orthologous to human CSF2RB (colony stimulating factor 2 receptor subunit beta). [provided by Alliance of Genome Resources, Apr 2022]"
"76","229003","Helz2","helicase with zinc finger 2, transcriptional coactivator","2","2 103.63 cM","Mus musculus","house mouse","Predicted to enable RNA binding activity; RNA helicase activity; and nuclear receptor coactivator activity. Predicted to be involved in nuclear-transcribed mRNA catabolic process, nonsense-mediated decay and positive regulation of transcription by RNA polymerase II. Predicted to be located in nucleoplasm. Predicted to be active in cytoplasm. Is expressed in several structures, including alimentary system; genitourinary system; integumental system; respiratory system; and telencephalon. Orthologous to human HELZ2 (helicase with zinc finger 2). [provided by Alliance of Genome Resources, Apr 2022]"
"77","671535","Parp10","poly (ADP-ribose) polymerase family, member 10","15","15 35.57 cM","Mus musculus","house mouse","Predicted to enable K63-linked polyubiquitin modification-dependent protein binding activity; pentosyltransferase activity; and transcription corepressor activity. Predicted to be involved in several processes, including negative regulation of NF-kappaB transcription factor activity; negative regulation of macromolecule metabolic process; and protein ADP-ribosylation. Predicted to act upstream of or within DNA repair. Predicted to be located in Golgi apparatus; cytosol; and nucleolus. Predicted to be active in cytoplasm and nucleus. Orthologous to human PARP10 (poly(ADP-ribose) polymerase family member 10). [provided by Alliance of Genome Resources, Apr 2022]"
"78","16362","Irf1","interferon regulatory factor 1","11","11 32.0 cM","Mus musculus","house mouse","Enables DNA-binding transcription factor activity, RNA polymerase II-specific and sequence-specific DNA binding activity. Involved in several processes, including defense response to other organism; regulation of T cell activation; and regulation of gene expression. Acts upstream of or within CD8-positive, alpha-beta T cell differentiation; positive regulation of interleukin-12 production; and positive regulation of transcription by RNA polymerase II. Located in cytoplasm and nucleus. Is expressed in several structures, including early conceptus; eye; genitourinary system; and gut. Human ortholog(s) of this gene implicated in asthma; gastric adenocarcinoma; lung non-small cell carcinoma; and smallpox. Orthologous to human IRF1 (interferon regulatory factor 1). [provided by Alliance of Genome Resources, Apr 2022]"
"79","15950","Ifi203","interferon activated gene 203","1","1 80.76 cM","Mus musculus","house mouse","Predicted to enable double-stranded DNA binding activity. Acts upstream of or within cellular response to interferon-beta. Predicted to be located in nucleus. [provided by Alliance of Genome Resources, Apr 2022]"
"80","20684","Sp100","nuclear antigen Sp100","1","1 43.6 cM","Mus musculus","house mouse","Predicted to enable several functions, including DNA-binding transcription factor activity, RNA polymerase II-specific; chromo shadow domain binding activity; and protein homodimerization activity. Predicted to be involved in several processes, including innate immune response; regulation of signal transduction; and regulation of transcription, DNA-templated. Predicted to be located in cytoplasm and nuclear lumen. Predicted to be part of Mre11 complex. Predicted to be active in nucleus. Is expressed in eye; olfactory placode; and otic pit. Orthologous to human SP100 (SP100 nuclear antigen). [provided by Alliance of Genome Resources, Apr 2022]"
"81","80876","Ifitm2","interferon induced transmembrane protein 2","7","7 86.18 cM","Mus musculus","house mouse","Involved in negative regulation of viral entry into host cell and response to virus. Acts upstream of or within defense response to virus. Predicted to be located in late endosome membrane and lysosomal membrane. Predicted to be part of protein-containing complex. Predicted to be active in plasma membrane. Is expressed in several structures, including 4-cell stage embryo; brain; genitourinary system; hemolymphoid system; and liver. Orthologous to human IFITM2 (interferon induced transmembrane protein 2). [provided by Alliance of Genome Resources, Apr 2022]"
"82","56045","Samhd1","SAM domain and HD domain, 1","2","2 78.0 cM","Mus musculus","house mouse","Enables dGTPase activity. Involved in several processes, including dATP catabolic process; negative regulation of type I interferon-mediated signaling pathway; and protein homotetramerization. Predicted to be located in nucleoplasm; site of double-strand break; and tetraspanin-enriched microdomain. Predicted to be active in nucleus. Is expressed in left lung; right lung; and thymus primordium. Human ortholog(s) of this gene implicated in Aicardi-Goutieres syndrome; Chilblain lupus; acute myeloid leukemia; hepatitis B; and hepatitis C. Orthologous to human SAMHD1 (SAM and HD domain containing deoxynucleoside triphosphate triphosphohydrolase 1). [provided by Alliance of Genome Resources, Apr 2022]"
"83","17476","Mpeg1","macrophage expressed gene 1","19","19 8.72 cM","Mus musculus","house mouse","Involved in defense response to Gram-negative bacterium; defense response to Gram-positive bacterium; and pore formation in membrane of other organism. Located in phagocytic vesicle. Is expressed in several structures, including blood vessel; central nervous system; developing vasculature of reproductive system; and retina outer nuclear layer. Human ortholog(s) of this gene implicated in primary immunodeficiency disease. Orthologous to human MPEG1 (macrophage expressed 1). [provided by Alliance of Genome Resources, Apr 2022]"
"84","20821","Trim21","tripartite motif-containing 21","7","7 54.76 cM","Mus musculus","house mouse","Predicted to enable several functions, including protein homodimerization activity; transcription coactivator activity; and ubiquitin protein ligase activity. Involved in positive regulation of viral entry into host cell. Located in cytoplasm. Is expressed in central nervous system; genitourinary system; retina; and thymus primordium. Orthologous to human TRIM21 (tripartite motif containing 21). [provided by Alliance of Genome Resources, Apr 2022]"
"85","58203","Zbp1","Z-DNA binding protein 1","2","2 95.83 cM","Mus musculus","house mouse","Enables double-stranded RNA binding activity and left-handed Z-DNA binding activity. Involved in several processes, including positive regulation of defense response; positive regulation of programmed cell death; and regulation of interleukin-1-mediated signaling pathway. Acts upstream of or within positive regulation of type I interferon-mediated signaling pathway. Located in cytoplasm and nucleus. Is expressed in eye and heart. Orthologous to human ZBP1 (Z-DNA binding protein 1). [provided by Alliance of Genome Resources, Apr 2022]"
"86","14580","Gfap","glial fibrillary acidic protein","11","11 66.48 cM","Mus musculus","house mouse","A structural constituent of cytoskeleton. Involved in regulation of chaperone-mediated autophagy. Acts upstream of or within with a positive effect on D-aspartate import across plasma membrane; gene expression; and intracellular protein transport. Acts upstream of or within several processes, including intermediate filament organization; long-term synaptic potentiation; and neurogenesis. Located in several cellular components, including astrocyte end-foot; cell body; and intermediate filament. Is expressed in several structures, including alimentary system; hemolymphoid system; integumental system; nervous system; and sensory organ. Used to study Alexander disease. Human ortholog(s) of this gene implicated in Alexander disease. Orthologous to human GFAP (glial fibrillary acidic protein). [provided by Alliance of Genome Resources, Apr 2022]"
"87","76933","Ifi27l2a","interferon, alpha-inducible protein 27 like 2A","12","12 52.93 cM","Mus musculus","house mouse","Acts upstream of or within aging and response to virus. Predicted to be located in mitochondrial membrane. Predicted to be active in mitochondrion. Is expressed in embryo. Orthologous to several human genes including IFI27L2 (interferon alpha inducible protein 27 like 2). [provided by Alliance of Genome Resources, Apr 2022]"
"88","12258","Serping1","serine (or cysteine) peptidase inhibitor, clade G, member 1","2","2 49.45 cM","Mus musculus","house mouse","Enables complement binding activity and serine-type endopeptidase inhibitor activity. Predicted to be involved in negative regulation of complement activation, lectin pathway and negative regulation of endopeptidase activity. Predicted to act upstream of or within several processes, including complement activation, classical pathway; fibrinolysis; and negative regulation of peptidase activity. Located in extracellular space. Is expressed in several structures, including genitourinary system; neural ectoderm; notochord; pancreas mesenchyme; and visceral pericardium. Human ortholog(s) of this gene implicated in several diseases, including COVID-19; angioedema (multiple); cerebral infarction; pancreatitis; and toxic shock syndrome. Orthologous to human SERPING1 (serpin family G member 1). [provided by Alliance of Genome Resources, Apr 2022]"
"89","14127","Fcer1g","Fc receptor, IgE, high affinity I, gamma polypeptide","1","1 79.23 cM","Mus musculus","house mouse","Enables IgE receptor activity; IgG binding activity; and identical protein binding activity. Contributes to IgE binding activity. Involved in several processes, including cell surface receptor signaling pathway; positive regulation of interleukin-4 production; and serotonin secretion by platelet. Acts upstream of or within several processes, including leukocyte differentiation; positive regulation of cytokine production; and positive regulation of immune response. Located in external side of plasma membrane. Is integral component of plasma membrane. Part of Fc-epsilon receptor I complex. Is expressed in central nervous system; gut; male reproductive gland or organ; and retina. Orthologous to human FCER1G (Fc fragment of IgE receptor Ig). [provided by Alliance of Genome Resources, Apr 2022]"
"90","15900","Irf8","interferon regulatory factor 8","8","8 70.05 cM","Mus musculus","house mouse","The protein encoded by this gene is a transcription factor that belongs to the interferon regulatory factor family. Proteins belonging to this family have a DNA binding domain at the amino terminus that contains five well-conserved tryptophan-rich repeats. This domain recognizes DNA sequences similar to the interferon-stimulated response element. The protein encoded by this gene promotes or suppresses lineage-specific genes to regulate the differentation of lymphoid and myeloid lineage cells. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Sep 2014]"
"91","13011","Cst7","cystatin F (leukocystatin)","2","2 74.67 cM","Mus musculus","house mouse","Enables cysteine-type endopeptidase inhibitor activity. Involved in negative regulation of peptidase activity. Acts upstream of or within inhibition of cysteine-type endopeptidase activity; negative regulation of microglial cell activation; and positive regulation of myelination. Located in several cellular components, including Golgi apparatus; late endosome; and lysosome. Is expressed in several structures, including early conceptus and female reproductive system. Orthologous to human CST7 (cystatin F). [provided by Alliance of Genome Resources, Apr 2022]"
"92","12266","C3","complement component 3","17","17 29.72 cM","Mus musculus","house mouse","This gene encodes complement protein C3 which plays a central role in the classical, alternative and lectin activation pathways of the complement system. The encoded preproprotein undergoes a multi-step processing to generate various functional peptides. Mice deficient in the encoded protein fail to clear bacteria from the blood stream upon infection, display diminished airway hyperresponsiveness and lung eosinophilia upon allergen-induced pulmonary allergy, and develop severe lung injury after deposition of IgG immune complexes. Deficiency of the homolog of the encoded protein in humans was found to be associated with increased susceptibility to infections, age-related macular degeneration, and atypical hemolytic uremic syndrome. [provided by RefSeq, Mar 2015]"
"93","21354","Tap1","transporter 1, ATP-binding cassette, sub-family B (MDR/TAP)","17","17 17.98 cM","Mus musculus","house mouse","The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MDR/TAP subfamily. Members of the MDR/TAP subfamily are involved in multidrug resistance. This protein forms a heterodimer with Tap2 that transports short peptides from the cytosol into the endoplasmic reticulum lumen. Mutations in the human gene may be associated with ankylosing spondylitis, insulin-dependent diabetes mellitus, and celiac disease. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2009]"
"94","14129","Fcgr1","Fc receptor, IgG, high affinity I","3","3 41.72 cM","Mus musculus","house mouse","Enables IgG binding activity and IgG receptor activity. Acts upstream of or within several processes, including antibody-dependent cellular cytotoxicity; endocytosis; and positive regulation of hypersensitivity. Located in external side of plasma membrane. Is expressed in liver. Orthologous to several human genes including FCGR1A (Fc gamma receptor Ia). [provided by Alliance of Genome Resources, Apr 2022]"
"95","12702","Socs3","suppressor of cytokine signaling 3","11","11 82.96 cM","Mus musculus","house mouse","Enables phosphotyrosine residue binding activity. Acts upstream of or within several processes, including cellular response to leukemia inhibitory factor; negative regulation of insulin receptor signaling pathway; and placenta development. Predicted to be located in cytoplasm. Predicted to be part of phosphatidylinositol 3-kinase complex. Is expressed in several structures, including extraembryonic component; liver; placenta; retina; and spleen. Human ortholog(s) of this gene implicated in atopic dermatitis 4. Orthologous to human SOCS3 (suppressor of cytokine signaling 3). [provided by Alliance of Genome Resources, Apr 2022]"
"96","20555","Slfn1","schlafen 1","11","11 50.3 cM","Mus musculus","house mouse","Acts upstream of or within negative regulation of G1/S transition of mitotic cell cycle by negative regulation of transcription from RNA polymerase II promoter; negative regulation of T cell proliferation; and negative regulation of protein phosphorylation. Located in cytoplasm and nucleus. Is expressed in several structures, including gut; male reproductive gland or organ; nervous system; oviduct; and spleen. Orthologous to human SLFN12 (schlafen family member 12) and SLFN12L (schlafen family member 12 like). [provided by Alliance of Genome Resources, Apr 2022]"
"97","16409","Itgam","integrin alpha M","7","7 69.93 cM","Mus musculus","house mouse","Enables complement component C3b binding activity; heparan sulfate proteoglycan binding activity; and heparin binding activity. Contributes to cargo receptor activity. Involved in several processes, including central nervous system development; endocytosis; and positive regulation of neuron death. Acts upstream of or within several processes, including activated T cell proliferation; leukocyte migration; and microglia development. Located in external side of plasma membrane and nucleus. Is integral component of membrane. Part of integrin alphaM-beta2 complex. Is expressed in several structures, including central nervous system; heart; lymphatic vessel; thymus; and yolk sac. Human ortholog(s) of this gene implicated in lupus nephritis. Orthologous to human ITGAM (integrin subunit alpha M). [provided by Alliance of Genome Resources, Apr 2022]"
"98","22035","Tnfsf10","tumor necrosis factor (ligand) superfamily, member 10","3","3 10.82 cM","Mus musculus","house mouse","Enables TRAIL binding activity and tumor necrosis factor receptor superfamily binding activity. Acts upstream of or within positive regulation of extrinsic apoptotic signaling pathway. Predicted to be located in extracellular space and plasma membrane. Predicted to be integral component of membrane. Is expressed in central nervous system; genitourinary system; gut; and retina. Human ortholog(s) of this gene implicated in arteriosclerosis and small cell carcinoma. Orthologous to human TNFSF10 (TNF superfamily member 10). [provided by Alliance of Genome Resources, Apr 2022]"
"99","21355","Tap2","transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)","17","17 17.98 cM","Mus musculus","house mouse","The membrane-associated protein encoded by this gene is a member of the superfamily of ATP-binding cassette (ABC) transporters. ABC proteins transport various molecules across extra- and intra-cellular membranes. ABC genes are divided into seven distinct subfamilies (ABC1, MDR/TAP, MRP, ALD, OABP, GCN20, White). This protein is a member of the MDR/TAP subfamily. Members of the MDR/TAP subfamily are involved in multidrug resistance. The protein encoded by this gene is involved in antigen presentation. This protein forms a heterodimer with Tap1 in order to transport peptides from the cytoplasm to the endoplasmic reticulum. Mutations in the human gene may be associated with ankylosing spondylitis, insulin-dependent diabetes mellitus, and celiac disease. [provided by RefSeq, Jul 2008]"
"100","23880","Fyb1","FYN binding protein 1","15","15 3.19 cM","Mus musculus","house mouse","The protein encoded by this gene is an adapter molecule that affects T cell receptor signaling and contains multiple protein-protein interaction domains. It is thought to couple T cell receptor stimulation with activation of integrin function. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, May 2013]"
"101","30935","Tor3a","torsin family 3, member A","1","1 67.71 cM","Mus musculus","house mouse","Predicted to enable ATP binding activity. Located in endoplasmic reticulum lumen. Is expressed in lateral ventricle choroid plexus and pancreas tip epithelium. Orthologous to human TOR3A (torsin family 3 member A). [provided by Alliance of Genome Resources, Apr 2022]"
"102","16149","Cd74","CD74 antigen (invariant polypeptide of major histocompatibility complex, class II antigen-associated)","18","18 34.41 cM","Mus musculus","house mouse","Enables MHC class II protein binding activity; cytokine receptor activity; and nitric-oxide synthase binding activity. Contributes to cytokine binding activity. Involved in several processes, including macrophage migration inhibitory factor signaling pathway; positive regulation of macromolecule metabolic process; and regulation of signal transduction. Acts upstream of or within several processes, including antigen processing and presentation of exogenous peptide antigen via MHC class II; regulation of T cell differentiation; and thymic T cell selection. Located in several cellular components, including Golgi apparatus; external side of plasma membrane; and multivesicular body. Part of MHC class II protein complex; NOS2-CD74 complex; and macrophage migration inhibitory factor receptor complex. Is expressed in lower jaw; lower jaw incisor; lower jaw molar; and thymus primordium. Orthologous to human CD74 (CD74 molecule). [provided by Alliance of Genome Resources, Apr 2022]"
"103","12364","Casp12","caspase 12","9","9 2.46 cM","Mus musculus","house mouse","Enables cysteine-type endopeptidase activity. Involved in intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress and self proteolysis. Acts upstream of or within apoptotic process and endoplasmic reticulum unfolded protein response. Located in endoplasmic reticulum. Is expressed in several structures, including alimentary system; brain; cardiovascular system; genitourinary system; and immune system. Orthologous to human CASP12 (caspase 12 (gene/pseudogene)). [provided by Alliance of Genome Resources, Apr 2022]"
"104","24088","Tlr2","toll-like receptor 2","3","3 37.4 cM","Mus musculus","house mouse","Enables lipoteichoic acid binding activity and peptide binding activity. Involved in several processes, including negative regulation of cellular component organization; positive regulation of cytokine production; and positive regulation of macromolecule biosynthetic process. Acts upstream of or within several processes, including pattern recognition receptor signaling pathway; regulation of cytokine production; and response to bacterium. Located in external side of plasma membrane. Part of Toll-like receptor 2-Toll-like receptor 6 protein complex. Is expressed in several structures, including brain; early embryo; genitourinary system; gut; and immune system. Human ortholog(s) of this gene implicated in several diseases, including autoimmune disease (multiple); dermatitis (multiple); gastrointestinal system cancer (multiple); lung disease (multiple); and rhinitis (multiple). Orthologous to human TLR2 (toll like receptor 2). [provided by Alliance of Genome Resources, Apr 2022]"
"105","19288","Ptx3","pentraxin related gene","3","3 30.25 cM","Mus musculus","house mouse","Enables (1->3)-beta-D-glucan binding activity. Acts upstream of or within several processes, including opsonization; ovarian cumulus expansion; and positive regulation of nitric oxide biosynthetic process. Located in extracellular matrix. Is expressed in cochlea; cochlea epithelium; inner ear vestibular component; organ of Corti; and stria vascularis. Human ortholog(s) of this gene implicated in cystic fibrosis and invasive aspergillosis. Orthologous to human PTX3 (pentraxin 3). [provided by Alliance of Genome Resources, Apr 2022]"
"106","12257","Tspo","translocator protein","15","15 39.4 cM","Mus musculus","house mouse","Enables transmembrane transporter binding activity. Involved in several processes, including negative regulation of autophagy of mitochondrion; negative regulation of protein ubiquitination; and protein localization to mitochondrion. Located in mitochondrion. Is expressed in several structures, including alimentary system; central nervous system; genitourinary system; hemolymphoid system; and sensory organ. Orthologous to human TSPO (translocator protein). [provided by Alliance of Genome Resources, Apr 2022]"
"107","12517","Cd72","CD72 antigen","4","4 23.04 cM","Mus musculus","house mouse","Predicted to enable carbohydrate binding activity and transmembrane signaling receptor activity. Predicted to be located in membrane. Predicted to be integral component of membrane. Predicted to be integral component of plasma membrane. Is expressed in brain; cerebellum external granule cell layer; cerebellum internal granule cell layer; hippocampus; and neocortex. Orthologous to human CD72 (CD72 molecule). [provided by Alliance of Genome Resources, Apr 2022]"
"108","20556","Slfn2","schlafen 2","11","11 50.3 cM","Mus musculus","house mouse","Acts upstream of or within negative regulation of cell population proliferation and response to bacterium. Is expressed in temporal bone. Orthologous to human SLFN12L (schlafen family member 12 like). [provided by Alliance of Genome Resources, Apr 2022]"
"109","15163","Hcls1","hematopoietic cell specific Lyn substrate 1","16","16 26.3 cM","Mus musculus","house mouse","Enables SH3 domain binding activity. Involved in several processes, including positive regulation of myeloid leukocyte differentiation; positive regulation of tyrosine phosphorylation of STAT protein; and regulation of transcription by RNA polymerase II. Located in cytoplasm and nucleus. Is expressed in thymus primordium. Orthologous to human HCLS1 (hematopoietic cell-specific Lyn substrate 1). [provided by Alliance of Genome Resources, Apr 2022]"
